,units1,bidirectional1,dropout_rate1,units2,bidirectional2,dropout_rate2,units3,bidirectional3,dropout_rate3,end_conv_kernel_size1,end_conv_units1,n_mfcc,max_freq,frame_length,hop_length,window_type,f1,precision,recall,auc,accuracy,TP,TN,FP,FN
63,64,True,40,,,,,,,,,102,6000,880,440,lanczos,67.23,81.85,56.92,75.83,95.77,1392.50,29375.25,303.25,1054.00
59,256,True,60,192,False,,,,,,,108,3000,440,55,triang,67.04,81.23,57.03,74.73,95.76,2772.00,58752.00,631.25,2094.75
123,128,True,,,,,,,,12,128,30,7500,440,440,bartlett,64.70,81.38,53.34,73.23,95.58,2616.75,59098.75,585.25,2270.50
9,128,False,30,,,,,,,,,116,3000,440,55,bartlett,64.53,81.39,52.87,72.31,95.55,2599.50,58792.75,590.50,2267.25
8,256,False,,192,True,20,256,True,,,,60,1000,440,55,hann,63.14,79.83,51.89,70.39,95.39,2535.75,58753.00,630.25,2331.00
118,64,True,,,,,,,,15,128,42,1500,440,440,lanczos,61.00,82.79,48.18,69.81,95.33,2356.75,59200.75,483.25,2530.50
15,256,False,,128,False,,128,False,,,,104,2500,440,220,lanczos,56.95,79.57,44.01,63.46,94.94,2151.75,58845.00,538.25,2715.00
14,256,True,60,128,False,,64,True,,,,102,1500,440,440,hann,41.09,75.09,27.95,48.92,93.87,1379.25,59236.50,447.50,3508.00
18,128,True,65,128,False,50,128,False,30,,,46,10000,440,440,triang,39.96,77.51,26.59,49.75,93.89,1312.00,59317.50,366.50,3575.25
13,64,True,35,192,True,60,128,True,,,,38,1500,440,440,tukey,27.77,70.07,17.18,37.95,93.19,845.75,59325.75,358.25,4041.50
