,units1,bidirectional1,dropout_rate1,units2,bidirectional2,dropout_rate2,units3,bidirectional3,dropout_rate3,end_conv_kernel_size1,end_conv_units1,n_mfcc,max_freq,frame_length,hop_length,window_type,f1,precision,recall,auc,accuracy,TP,TN,FP,FN
130,64,True,,256,False,70,,,,15,160,80,8000,880,55,bartlett,78.51,80.19,76.77,86.70,96.80,1879.75,29216.25,462.25,566.75
148,192,False,,128,True,75,256,True,55,15,192,78,6000,880,55,bartlett,78.50,83.58,73.82,86.66,96.92,1806.00,29330.00,348.50,640.50
125,128,False,,128,True,75,256,False,60,18,224,94,5000,880,55,triang,78.50,82.05,75.03,87.08,96.87,1837.50,29281.00,397.50,609.00
110,256,False,,128,False,55,128,False,,15,224,38,7500,880,55,bartlett,78.49,83.72,73.58,86.25,96.93,1801.75,29336.00,342.50,644.75
45,192,True,,192,True,45,,,,12,256,114,7500,880,55,hann,78.49,80.29,76.95,86.14,96.79,1882.25,29211.25,467.25,564.25
87,128,True,,128,True,80,,,,21,192,96,3500,880,110,bartlett,78.49,82.57,74.26,86.81,96.88,1826.50,29297.50,381.00,620.00
82,192,False,,192,True,45,,,,18,32,122,5500,880,55,triang,78.46,81.96,75.00,86.72,96.86,1837.25,29279.25,399.25,609.25
128,192,False,,,,,,,,12,192,110,3000,440,55,hann,78.42,82.39,74.60,86.91,96.89,3631.75,58620.00,763.25,1235.00
34,128,True,,128,True,,,,,15,192,112,6500,880,55,triang,78.42,83.24,73.87,87.03,96.90,1810.25,29318.50,360.00,636.25
72,128,True,,64,True,70,,,,18,64,120,8000,880,220,hamming,78.42,80.82,75.91,86.68,96.81,1861.50,29239.00,439.50,585.00
68,128,True,,256,True,60,,,,18,96,128,5000,880,220,hamming,78.41,82.67,74.42,87.05,96.88,1821.75,29300.00,378.50,624.75
145,192,False,,128,True,65,192,True,45,18,192,76,6000,880,55,bartlett,78.41,81.99,74.70,86.72,96.86,1832.50,29283.25,395.25,614.00
61,128,False,,128,True,65,,,,18,256,56,9000,880,55,triang,78.39,83.22,73.97,86.75,96.90,1809.25,29318.50,360.00,637.25
35,128,True,,64,True,40,,,,12,128,94,5000,880,110,bartlett,78.38,80.54,75.98,86.32,96.80,1862.25,29235.25,443.25,584.25
117,192,True,,64,True,,,,,18,192,46,6500,880,55,triang,78.38,82.82,74.51,86.76,96.88,1816.75,29305.75,372.75,629.75
180,192,True,,128,True,45,,,,24,224,104,4000,880,55,bartlett,78.37,82.48,74.19,86.65,96.87,1822.75,29296.00,382.50,623.75
30,64,True,,256,True,75,,,,18,96,126,4500,880,55,triang,78.34,83.30,73.76,87.12,96.89,1806.50,29319.50,359.00,640.00
115,256,False,,128,True,60,,,,21,256,88,4500,880,110,bartlett,78.33,83.30,73.69,86.76,96.89,1804.75,29321.50,357.00,641.75
197,64,False,,128,True,,,,,15,192,122,4500,880,110,bartlett,78.31,82.31,74.34,85.63,96.86,1823.00,29292.25,386.25,623.50
43,64,True,,128,True,30,,,,15,192,64,6500,880,55,bartlett,78.30,83.27,73.55,87.03,96.88,1806.25,29317.50,361.00,640.25
77,192,False,,128,True,65,,,,27,160,126,8500,880,55,triang,78.28,81.57,75.18,86.53,96.83,1836.75,29269.00,409.50,609.75
126,192,True,,128,True,65,,,,9,160,54,2500,880,110,lanczos,78.26,82.49,74.29,85.99,96.86,1817.50,29298.00,380.50,629.00
31,64,True,,64,True,35,,,,18,160,124,4500,880,55,triang,78.25,82.79,73.85,86.93,96.87,1809.75,29309.00,369.50,636.75
181,192,False,,128,False,60,128,True,,18,64,98,5500,880,110,hamming,78.24,82.42,74.22,86.95,96.85,1820.00,29292.75,385.75,626.50
40,128,True,,128,True,35,,,,15,224,120,7000,880,55,bartlett,78.23,81.53,74.94,86.56,96.82,1833.75,29270.50,408.00,612.75
193,128,False,,64,True,55,128,True,50,21,224,86,5000,880,55,bartlett,78.21,83.58,73.29,87.00,96.89,1794.50,29330.50,348.00,652.00
116,128,True,,128,False,50,192,True,,12,160,30,5500,880,55,tukey,78.20,81.53,75.05,86.29,96.82,1834.25,29268.25,410.25,612.25
179,128,False,,192,True,35,256,False,55,21,192,88,8500,880,55,triang,78.19,81.95,74.49,86.55,96.83,1825.75,29281.00,397.50,620.75
28,64,True,,256,True,80,,,,27,96,80,3500,880,220,hamming,78.15,83.70,73.31,86.17,96.88,1789.25,29335.00,343.50,657.25
73,64,True,,128,True,25,,,,21,32,106,5500,880,55,triang,78.12,81.46,74.82,86.16,96.81,1830.75,29269.00,409.50,615.75
172,192,True,,128,True,75,,,,15,192,100,5500,880,55,lanczos,78.12,81.33,74.91,86.37,96.80,1834.25,29263.25,415.25,612.25
101,192,False,,128,True,70,256,True,70,12,224,16,9500,880,55,bartlett,78.11,83.74,73.16,86.64,96.88,1787.25,29336.25,342.25,659.25
150,192,False,,128,True,80,128,True,45,15,192,96,7500,880,55,bartlett,78.10,81.67,74.62,86.52,96.81,1827.00,29273.25,405.25,619.50
173,256,False,,192,True,70,,,,12,128,62,9000,880,110,bartlett,78.07,82.74,73.63,86.22,96.85,1803.00,29309.25,369.25,643.50
178,192,True,,128,True,55,,,,9,128,120,9500,880,55,tukey,78.04,81.31,74.68,86.27,96.78,1836.50,29254.75,423.75,610.00
32,64,True,,256,True,70,,,,18,32,128,6000,880,55,triang,78.02,81.75,74.41,86.84,96.80,1822.75,29275.50,403.00,623.75
65,128,True,,64,True,75,,,,24,96,128,5500,880,220,hamming,78.00,82.67,73.72,87.11,96.84,1802.25,29306.25,372.25,644.25
