,f1,precision,recall,accuracy,auc,TP,TN,FP,FN
92,77.21,82.40,72.25,96.76,85.84,3531.00,58634.50,748.75,1335.75
93,77.17,81.10,73.44,96.69,85.90,1796.50,29265.25,413.25,650.00
94,77.16,82.00,72.68,96.72,85.35,1777.25,29295.50,383.00,669.25
95,77.14,82.05,72.48,96.72,85.83,1776.25,29296.25,382.25,670.25
96,77.12,81.42,72.85,96.69,85.26,1790.00,29272.75,405.75,656.50
97,77.11,83.55,71.26,96.77,85.38,1746.50,29341.75,336.75,700.00
98,77.11,82.46,71.69,96.74,85.31,1764.00,29313.50,365.00,682.50
99,77.09,83.46,71.36,96.77,85.69,1747.25,29339.25,339.25,699.25
100,77.04,81.76,72.72,96.70,85.28,1778.00,29287.50,391.00,668.50
101,77.01,83.09,71.55,96.76,85.68,3487.25,58681.00,702.25,1379.50
102,77.00,82.09,72.16,96.71,85.93,1769.25,29298.75,379.75,677.25
103,76.96,81.42,72.96,96.68,85.65,1781.25,29277.25,401.25,665.25
104,76.92,84.34,70.33,96.80,85.14,3431.50,58759.75,623.50,1435.25
105,76.90,81.94,72.27,96.67,85.46,1778.00,29278.75,399.75,668.50
106,76.87,81.73,72.15,96.68,84.59,1770.25,29289.25,389.25,676.25
107,76.85,82.71,71.36,96.73,84.82,3483.00,58668.00,715.25,1383.75
108,76.66,84.47,69.90,96.77,85.96,3408.00,58766.75,616.50,1458.75
109,76.56,82.71,71.02,96.68,85.16,1741.25,29317.50,361.00,705.25
110,76.47,83.18,70.41,96.69,84.68,1726.50,29336.00,342.50,720.00
111,76.42,81.47,71.68,96.63,84.43,1756.00,29285.50,393.00,690.50
112,76.41,80.43,72.55,96.59,84.43,1775.50,29253.25,425.25,671.00
113,76.41,83.33,69.78,96.69,85.11,1722.00,29339.50,339.00,724.50
114,76.40,83.47,70.14,96.69,85.19,1719.00,29343.75,334.75,727.50
115,76.37,81.29,71.77,96.63,85.17,3498.50,58586.00,797.25,1368.25
116,76.32,80.54,72.32,96.58,84.43,1770.00,29256.50,422.00,676.50
117,76.29,82.90,70.33,96.66,84.66,1725.75,29326.75,351.75,720.75
118,76.28,82.25,71.02,96.64,84.01,1736.75,29308.25,370.25,709.75
119,76.23,80.30,72.30,96.56,83.87,1770.75,29249.75,428.75,675.75
120,76.15,81.19,71.25,96.59,83.80,1749.25,29279.75,398.75,697.25
121,76.14,82.87,70.02,96.65,84.75,1718.00,29330.50,348.00,728.50
122,76.13,84.26,69.27,96.69,84.59,1694.75,29367.25,311.25,751.75
123,76.09,81.17,71.38,96.58,84.45,1748.50,29277.50,401.00,698.00
124,76.07,82.32,70.51,96.62,84.63,1726.75,29312.00,366.50,719.75
125,75.99,81.95,70.63,96.60,84.60,1730.00,29301.75,376.75,716.50
126,75.97,82.50,69.85,96.64,84.28,3414.50,58675.00,708.25,1452.25
127,75.91,83.42,69.74,96.66,85.05,3385.00,58717.00,666.25,1481.75
128,75.85,81.06,71.11,96.57,84.18,3460.75,58586.00,797.25,1406.00
129,75.81,82.60,69.64,96.62,84.49,3399.25,58681.75,701.50,1467.50
130,75.78,81.73,70.33,96.56,83.86,1729.00,29290.50,388.00,717.50
