,u1,bd1,dr1,u2,bd2,dr2,u3,bd3,dr3,ck1,cf1
73,128,True,,64,True,,192,True,,18,96
74,128,False,,128,True,65,256,True,35,15,160
75,128,True,,64,True,40,128,True,,18,224
76,192,False,,128,True,65,192,True,60,18,160
77,128,False,,128,True,,,,,15,160
78,192,True,,128,True,30,192,True,,18,160
79,192,False,,128,True,60,192,False,55,21,224
80,256,False,,128,True,65,192,True,40,18,256
81,128,True,,64,True,,,,,15,160
82,192,False,,128,True,,64,True,75,15,160
83,64,False,,128,False,,,,,18,224
84,64,True,,128,True,,,,,9,256
85,128,True,,192,True,55,,,,12,128
86,64,False,,128,False,40,,,,15,160
87,192,False,,128,True,75,256,True,25,18,224
88,192,True,,64,True,45,128,True,,18,192
89,192,False,,192,True,60,,,,12,160
90,192,False,,64,True,70,128,True,20,18,192
91,64,True,,64,True,35,,,,24,160
92,128,True,,,,,,,,9,192
93,128,True,,128,False,70,,,,18,128
94,256,True,,64,True,50,256,False,40,15,192
95,192,False,,64,False,65,192,False,40,21,224
96,128,True,,128,True,40,64,True,70,18,96
97,192,True,,64,True,30,,,,18,256
98,128,True,,64,True,25,,,,15,64
99,128,False,,64,True,60,,,,15,256
100,128,True,,64,True,,,,,18,128
101,64,True,,,,,,,,12,192
102,128,True,,192,False,30,192,False,65,18,128
103,192,False,,192,False,45,256,True,50,15,160
104,256,True,,192,True,60,192,False,,27,64
105,192,True,,64,False,20,256,True,,21,96
106,128,True,,256,True,80,,,,24,64
107,64,True,,,,,,,,12,128
108,128,True,,64,True,50,,,,15,224
109,128,False,,,,,,,,21,128
110,128,False,40,,,,,,,24,128
111,64,True,,,,,,,,27,32
112,128,True,,,,,,,,15,160
113,64,True,,64,True,80,,,,24,96
114,192,True,,192,False,65,,,,21,64
115,256,False,,,,,,,,15,224
116,192,True,,,,,,,,27,64
117,192,True,,,,,,,,21,32
118,128,True,,192,True,40,,,,12,128
119,192,False,,128,True,20,256,True,60,15,224
120,192,False,,64,True,40,256,True,40,12,128
121,128,True,,64,True,35,64,False,75,15,224
122,192,False,,128,False,50,,,,18,256
123,192,True,,192,True,45,192,False,55,9,128
124,192,True,,64,True,35,,,,15,96
125,192,True,,128,True,,,,,18,160
126,128,True,,,,,,,,27,96
127,128,True,,,,,,,,12,256
128,64,True,,,,,,,,18,192
129,128,True,,128,True,40,256,False,65,9,192
130,192,True,,,,,,,,21,64
131,128,True,25,,,,,,,12,128
132,256,True,,,,,,,,18,224
133,128,False,,128,True,,,,,21,128
134,128,False,,64,True,35,256,False,,12,224
135,192,False,,,,,,,,9,192
136,64,True,,,,,,,,21,224
137,192,False,,128,False,70,,,,15,160
138,128,False,20,,,,,,,,
139,256,False,45,128,True,,128,True,,,
140,256,False,75,128,True,70,,,,,
141,256,False,55,128,True,25,,,,,
142,128,True,,192,True,75,128,True,50,,
143,192,False,,,,,,,,21,96
144,256,True,,256,True,50,128,True,25,,
145,128,True,55,128,True,,,,,,
146,192,False,30,192,False,35,192,True,,,
147,128,True,50,192,False,25,,,,,
148,192,False,,128,True,80,,,,12,32
149,192,False,,192,True,30,128,True,45,9,192
150,64,True,,,,,,,,15,160
151,128,True,80,128,True,,,,,,
152,192,False,45,128,False,60,256,True,20,,
153,256,False,65,128,True,50,256,True,65,,
154,64,False,30,128,True,80,192,False,30,,
155,256,False,,128,True,20,192,True,,,
156,128,True,30,256,False,,,,,12,128
157,64,True,25,64,True,,,,,,
158,128,False,35,192,True,70,,,,,
159,192,True,,,,,,,,18,192
160,128,False,35,192,True,45,256,True,80,,
161,192,False,,128,False,,,,,24,160
162,128,True,,64,True,30,64,False,70,9,192
163,128,False,60,64,True,,,,,,
164,128,False,,128,True,,,,,,
165,64,True,55,,,,,,,,
166,192,False,40,,,,,,,,
167,192,False,25,128,True,55,256,False,80,,
168,128,False,,,,,,,,9,96
169,192,True,,,,,,,,12,256
170,128,True,45,,,,,,,12,160
171,64,True,75,64,True,60,,,,,
172,64,True,80,192,False,30,64,False,80,18,192
173,192,True,,64,True,80,,,,24,64
174,128,True,,128,True,60,256,True,65,15,96
175,64,True,,192,False,45,,,,9,160
176,64,True,70,192,False,55,128,True,55,9,256
177,192,False,75,192,False,,128,False,,,
178,128,True,70,128,False,75,,,,,
179,256,False,50,,,,,,,,
180,64,True,,192,True,70,64,True,,,
181,192,False,,,,,,,,15,192
182,192,True,,,,,,,,12,160
183,64,False,,,,,,,,24,224
184,192,False,75,,,,,,,15,192
185,256,False,20,64,False,60,,,,15,160
186,64,False,,,,,,,,,
187,128,True,20,192,False,65,,,,,
188,256,True,70,64,True,45,192,True,,,
189,128,False,65,64,True,,192,True,60,,
190,64,True,40,,,,,,,,
191,256,True,60,192,False,,,,,,
192,128,True,,,,,,,,12,128
193,128,False,30,,,,,,,,
194,256,False,,192,True,20,256,True,,,
195,64,True,,,,,,,,15,128
196,256,False,,128,False,,128,False,,,
197,256,True,60,128,False,,64,True,,,
198,128,True,65,128,False,50,128,False,30,,
199,64,True,35,192,True,60,128,True,,,
