,bidirectional1,bidirectional2,bidirectional3,convolution_at_end,dropout1,dropout2,dropout3,dropout_rate1,dropout_rate2,dropout_rate3,end_conv_kernel_size1,end_conv_units1,frame_length,hop_length,if_block2,if_block3,max_freq,n_mfcc,units1,units2,units3,window_type,loss,accuracy,precision,recall,auc,TP,TN,FP,FN,f1,status
148,0,1.0,1.0,1,0,1.0,1.0,,75.0,55.0,15.0,192.0,1,0,1,1.0,6000.0,78.0,192.0,128.0,256.0,3,-0.7850467289719626,0.9692122936248779,0.8358478993177414,0.73818439245224,0.8665730655193329,1806.0,29330.0,348.5,640.5,0.7850467289719626,ok
149,0,1.0,1.0,1,0,1.0,1.0,,65.0,60.0,18.0,160.0,1,0,1,1.0,7000.0,118.0,192.0,128.0,192.0,3,-0.7779232111692844,0.9683091789484024,0.8321524262428284,0.7280078232288361,0.8677962273359299,1783.0,29324.0,354.5,663.5,0.7779232111692844,ok
150,0,1.0,1.0,1,0,1.0,1.0,,80.0,45.0,15.0,192.0,1,0,1,1.0,7500.0,96.0,192.0,128.0,128.0,3,-0.7809778252738445,0.9680994153022766,0.816661074757576,0.7461860477924347,0.8651703596115112,1827.0,29273.25,405.25,619.5,0.7809778252738445,ok
151,0,1.0,1.0,1,0,1.0,1.0,,75.0,35.0,15.0,224.0,1,0,1,1.0,6500.0,60.0,192.0,128.0,192.0,3,-0.7871058013130987,0.9692119508981705,0.8293825536966324,0.7454892843961716,0.8705989271402359,1828.25,29307.75,370.75,618.25,0.7871058013130987,ok
152,0,1.0,1.0,1,0,1.0,1.0,,55.0,25.0,18.0,160.0,1,0,1,1.0,5000.0,42.0,256.0,128.0,256.0,3,-0.787067523074432,0.9692980647087097,0.8323798775672913,0.7418756633996964,0.8688019663095474,1822.75,29316.0,362.5,623.75,0.787067523074432,ok
153,0,1.0,1.0,1,0,1.0,1.0,,70.0,65.0,15.0,192.0,1,0,1,1.0,5500.0,52.0,192.0,128.0,256.0,3,-0.7921852843863243,0.9692045748233795,0.8124390244483948,0.7691807001829147,0.8716817051172256,1885.5,29250.25,428.25,561.0,0.7921852843863243,ok
154,0,1.0,0.0,1,0,1.0,1.0,,60.0,55.0,21.0,224.0,1,0,1,1.0,8000.0,32.0,192.0,128.0,192.0,3,-0.7763326226012793,0.967342734336853,0.8098551779985428,0.7462044656276703,0.8624288588762283,1820.5,29255.5,423.0,626.0,0.7763326226012793,ok
155,0,1.0,1.0,1,0,1.0,1.0,,65.0,35.0,15.0,160.0,1,0,1,1.0,6000.0,24.0,128.0,128.0,256.0,2,-0.7780635980515571,0.968440368771553,0.8359293937683105,0.7263944000005722,0.861843466758728,1777.0,29334.25,344.25,669.5,0.7780635980515571,ok
156,0,1.0,1.0,1,0,1.0,1.0,,70.0,20.0,18.0,192.0,1,0,1,1.0,9000.0,66.0,192.0,64.0,128.0,0,-0.7729636048526863,0.9673765599727631,0.8196533471345901,0.7256816327571869,0.8569243252277374,1784.0,29293.0,385.5,662.5,0.7729636048526863,ok
157,0,1.0,1.0,1,0,1.0,1.0,,80.0,70.0,18.0,224.0,1,0,1,1.0,3500.0,112.0,192.0,128.0,192.0,3,-0.7862844896865792,0.9689549803733826,0.8248661756515503,0.7484735697507858,0.8647032082080841,1834.5,29293.25,385.25,612.0,0.7862844896865792,ok
158,0,1.0,0.0,1,0,1.0,1.0,,70.0,50.0,15.0,128.0,1,1,1,1.0,7500.0,70.0,256.0,128.0,256.0,3,-0.7852938028470513,0.9687766283750534,0.8220070898532867,0.749656543135643,0.8658475577831268,1834.25,29287.75,390.75,612.25,0.7852938028470513,ok
159,0,1.0,,1,0,1.0,,,65.0,,21.0,128.0,1,0,1,0.0,8000.0,56.0,128.0,128.0,,4,-0.7786942692328428,0.9680508375167847,0.8244896084070206,0.7360000461339951,0.8659375309944153,1805.5,29293.25,385.25,641.0,0.7786942692328428,ok
160,0,1.0,1.0,1,0,1.0,1.0,,60.0,45.0,15.0,192.0,1,2,1,1.0,6500.0,124.0,128.0,192.0,192.0,2,-0.7793578970049558,0.9681229442358017,0.8215317875146866,0.7370281219482422,0.8580974042415619,1808.5,29292.5,386.0,638.0,0.7793578970049558,ok
